Region,Country Name,Mobile users per capita,Population: Total (count),Year,Migration: Top 3 destinations,Migration: Top 3 sources
Asia,"Korea, Rep.",0.57,47008000.0,2000,"[('United States', 896982.0), ('Japan', 685943.0), ('Canada', 80541.0)]",
Europe,Kosovo,NA,1700000.0,2000,[],
Middle East,Kuwait,0.25,1940786.0,2000,"[('West Bank and Gaza', 156362.0), ('Saudi Arabia', 101301.0), ('United States', 22703.0)]",
Asia,Kyrgyz Republic,0.00,4898400.0,2000,"[('Russian Federation', 463521.0), ('Kazakhstan', 73813.0), ('Uzbekistan', 64926.0)]",
Asia,Lao PDR,0.00,5317060.0,2000,"[('United States', 213399.0), ('Thailand', 46108.0), ('Germany', 34298.0)]",
Europe,Latvia,0.17,2372985.0,2000,"[('Russian Federation', 102518.0), ('United States', 69779.0), ('Germany', 56469.0)]",
Middle East,Lebanon,0.20,3742329.0,2000,"[('United States', 113215.0), ('Kuwait', 76410.0), ('Australia', 70359.0)]",
Africa,Lesotho,0.01,1963878.0,2000,"[('South Africa', 114095.0), ('Malawi', 30454.0), ('Mozambique', 19502.0)]",
Africa,Liberia,0.00,2847290.0,2000,"[('Guinea', 117820.0), (""Cote d'Ivoire"", 44023.0), ('United States', 42949.0)]",
Africa,Libya,0.01,5231189.0,2000,"[('United States', 35552.0), ('Israel', 21830.0), ('Sudan', 18928.0)]",
Europe,Liechtenstein,0.30,32853.0,2000,"[('Germany', 1756.0), ('Switzerland', 1713.0), ('Austria', 515.0)]",
Europe,Lithuania,0.15,3499536.0,2000,"[('Germany', 126069.0), ('Russian Federation', 86199.0), ('Poland', 85576.0)]",
Europe,Luxembourg,0.70,436300.0,2000,"[('Germany', 6075.0), ('Belgium', 4448.0), ('Portugal', 3477.0)]",
Asia,"Macao SAR, China",0.33,431867.0,2000,"[('Hong Kong SAR, China', 69229.0), ('Canada', 6680.0), ('China', 6005.0)]",
Europe,"Macedonia, FYR",0.06,2009091.0,2000,"[('Switzerland', 58224.0), ('Germany', 54994.0), ('Italy', 44657.0)]",
